item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
a thousand splendid suns,174,0.8278735632183909,0.6291666666666667,0.6395114942528736,0.7367816091954024,0.6862068965517242
the subtle art of not giving a fck,7,0.8285714285714285,0.6571428571428573,0.6321428571428572,0.8392857142857143,0.5821428571428572
seven husbands of evelyn hugo,580,0.8128448275862069,0.635948275862069,0.6303448275862069,0.7437068965517242,0.6979310344827586
the mountain is you,172,0.8318313953488371,0.6966569767441861,0.6524709302325581,0.7533430232558139,0.6370639534883721
a court of mist and fury,176,0.8248579545454544,0.6546875,0.6188920454545455,0.7376420454545454,0.6875
jujutsu kaisen,186,0.7826612903225806,0.5631720430107527,0.5512096774193549,0.7124999999999999,0.6913978494623656
after,499,0.7461923847695391,0.6450901803607214,0.6420340681362725,0.7422344689378757,0.6683366733466933
they both die at the end,164,0.8054878048780486,0.5757621951219511,0.5608231707317073,0.7426829268292684,0.7428353658536585
hunger games ,322,0.7557453416149068,0.6198757763975156,0.6138975155279502,0.7243012422360248,0.6951863354037267
the housemaid,186,0.7344086021505377,0.6876344086021504,0.6391129032258065,0.7743279569892472,0.6545698924731183
outsiders,540,0.7039814814814814,0.6034722222222222,0.6267592592592592,0.7322222222222223,0.6784722222222223
the great gatsby ,129,0.7513565891472866,0.6521317829457365,0.6565891472868217,0.7315891472868217,0.6579457364341085
song of achilles,479,0.8459812108559499,0.6027139874739039,0.5991649269311065,0.7324634655532358,0.7371085594989562
a good girls guide to murder ,110,0.7368181818181818,0.6081818181818182,0.6070454545454546,0.7459090909090909,0.7211363636363636
im glad my mom died,39,0.8057692307692308,0.6121794871794871,0.648076923076923,0.7121794871794872,0.7192307692307691
silent patient,704,0.7834517045454544,0.6351562500000001,0.623721590909091,0.7377130681818183,0.6825284090909091
dog man,148,0.6739864864864865,0.6055743243243243,0.6474662162162161,0.7407094594594594,0.6310810810810811
twisted games,172,0.7402616279069768,0.6149709302325581,0.6212209302325581,0.7094476744186046,0.7149709302325581
the power of now,147,0.8460884353741497,0.6624149659863946,0.6409863945578231,0.7692176870748298,0.6061224489795919
ugly love ,177,0.6970338983050847,0.6646892655367231,0.6481638418079095,0.7518361581920904,0.6865819209039548
no idea,170,0.7344117647058823,0.6298529411764706,0.6311764705882353,0.7048529411764706,0.6741176470588236
red rising,150,0.8325,0.6466666666666666,0.6178333333333335,0.7138333333333332,0.6103333333333334
nope,127,0.7344488188976377,0.609251968503937,0.5669291338582677,0.6944881889763779,0.6692913385826773
twilight ,176,0.7646306818181817,0.6475852272727273,0.6242897727272726,0.7440340909090909,0.6749999999999999
i dont know,302,0.7225993377483443,0.6033940397350993,0.6304635761589403,0.7124999999999999,0.6754966887417218
