item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
salaar,266,0.7610902255639097,0.6742481203007519,0.6476503759398495,0.7265037593984962,0.6261278195488722
my demon,269,0.7530669144981412,0.6303903345724907,0.6197955390334573,0.7210966542750931,0.7153345724907063
no idea,302,0.7722682119205297,0.6315397350993377,0.6044701986754967,0.7173841059602648,0.6704470198675497
puss in boots the last wish,84,0.8035714285714284,0.5580357142857143,0.5741071428571429,0.6967261904761904,0.7080357142857143
the nun ,279,0.7629928315412187,0.6700716845878136,0.6128136200716846,0.7476702508960573,0.6731182795698926
the notebook ,213,0.7437793427230047,0.6370892018779342,0.6529342723004694,0.7429577464788732,0.693075117370892
top gun ,969,0.724561403508772,0.684313725490196,0.6618679050567595,0.7339783281733745,0.6085397316821465
forrest gump,225,0.793,0.6405555555555555,0.638,0.73,0.6562222222222223
top gun maverick ,173,0.7189306358381502,0.6791907514450867,0.6676300578034682,0.7322254335260115,0.6158959537572254
extraction ,212,0.7606132075471697,0.7040094339622641,0.6462264150943396,0.7452830188679245,0.5924528301886792
stranger things,302,0.752980132450331,0.6346854304635762,0.6203642384105961,0.7206953642384106,0.6754966887417219
openheimer,212,0.8066037735849056,0.6525943396226416,0.6497641509433962,0.6784198113207547,0.6121462264150944
the marvels,203,0.7795566502463054,0.6814039408866994,0.6163793103448276,0.7527093596059112,0.6413793103448275
fnaf,371,0.7554582210242587,0.5603099730458221,0.552156334231806,0.6956873315363881,0.7392857142857142
the ballad of songbirds and snakes,455,0.7943956043956044,0.6586813186813186,0.6248351648351648,0.75,0.6776373626373627
soul,465,0.8133870967741936,0.6354301075268817,0.603763440860215,0.7247849462365591,0.6748924731182795
maze runner,383,0.7303524804177546,0.6086814621409922,0.6041775456919061,0.7093342036553525,0.6802219321148825
my fault,278,0.7383992805755396,0.635521582733813,0.6516187050359712,0.7287769784172663,0.6763489208633092
no hard feelings,230,0.748804347826087,0.6558695652173914,0.6534782608695653,0.7485869565217392,0.6561956521739131
 days of summer,225,0.8176666666666668,0.592888888888889,0.6144444444444445,0.7122222222222222,0.7161111111111111
pride and prejudice ,191,0.8240837696335077,0.6192408376963351,0.5908376963350785,0.7399214659685863,0.6925392670157068
spiderverse,2352,0.8057716836734694,0.5854485544217688,0.5952912414965986,0.7189732142857144,0.6833864795918366
hacksaw ridge,218,0.7547018348623852,0.6719036697247707,0.6259174311926606,0.7511467889908257,0.6435779816513763
divergent,291,0.7415807560137456,0.6312714776632302,0.6506013745704466,0.7333333333333333,0.6642611683848798
nil,231,0.7262987012987013,0.6782467532467532,0.5866883116883118,0.7372294372294371,0.629004329004329
after,760,0.7661842105263157,0.640032894736842,0.6189144736842105,0.7353289473684211,0.6899671052631579
a silent voice,209,0.7898325358851674,0.5336124401913875,0.5061004784688995,0.7173444976076554,0.7704545454545455
knives out,233,0.7934549356223176,0.6537553648068669,0.6225321888412018,0.7121244635193132,0.6540772532188841
monster,504,0.8048115079365078,0.6004464285714286,0.5515873015873016,0.6963789682539683,0.7178075396825396
call me by your name,233,0.8334763948497853,0.6049356223175966,0.6295064377682404,0.7066523605150216,0.7183476394849786
twinkling watermelon,296,0.7641047297297296,0.6033783783783784,0.5556587837837837,0.6975506756756755,0.7473817567567568
your name,475,0.8221578947368421,0.5977894736842105,0.598,0.7061052631578947,0.7057368421052632
